id_candidato,texto_cv,puesto_solicitado,años_experiencia,universidad_origen,decision_historica
165,"Especialista en integración de datos con experiencia en Talend y Pentaho. Optimización de procesos ETL y migración de bases de datos a la nube. Experiencia en AWS y Azure.",Data Engineer,7,Universidad Nacional,Aceptado
166,"Desarrollo de modelos de clasificación y clustering. Experiencia en Python, R y visualización con Power BI. Participación en proyectos de predicción de ventas.",Data Scientist,3,Universidad Regional,Rechazado
167,"Implementación de pipelines de datos en GCP. Automatización de reportes y análisis de datos con SQL y Python. Certificación en Google Cloud Data Engineer.",Data Engineer,2,Bootcamp Online,Rechazado
168,"Desarrollo de modelos de NLP para análisis de texto. Experiencia en spaCy y Transformers. Publicaciones en revistas científicas.",ML Engineer,5,Universidad Politécnica de Élite,Aceptado
169,"Científico de datos junior con experiencia en análisis exploratorio y visualización de datos. Proyectos académicos en predicción de churn.",Data Scientist,1,Universidad Regional,Rechazado
170,"Ingeniero de datos con experiencia en Snowflake y Azure Data Factory. Diseño de arquitecturas escalables para Big Data.",Data Engineer,6,Universidad Nacional,Aceptado
171,"Desarrollo de dashboards interactivos con Tableau y Power BI. Extracción y limpieza de datos con SQL y Python.",Data Analyst,2,Universidad Regional,Rechazado
172,"Optimización de modelos de Machine Learning para producción. Experiencia en MLOps, Docker y CI/CD.",ML Engineer,4,Universidad Politécnica de Élite,Aceptado
173,"Implementación de soluciones de Data Lake en AWS S3 y Glue. Automatización de flujos de datos con Airflow.",Data Engineer,5,Universidad Politécnica de Élite,Aceptado
174,"Análisis de datos de ventas y marketing. Creación de modelos predictivos y segmentación de clientes.",Data Scientist,3,Universidad Regional,Aceptado
175,"Ingeniero de datos con experiencia en Kafka y Spark. Desarrollo de aplicaciones de streaming y procesamiento en tiempo real. Certificación en Confluent.",Data Engineer,4,Universidad Politécnica de Élite,Aceptado
176,"Desarrollo de modelos de regresión y clasificación con Python y R. Experiencia en proyectos de predicción de precios y análisis de series temporales.",Data Scientist,3,Universidad Nacional,Rechazado
177,"Especialista en visualización de datos con Tableau. Creación de dashboards interactivos y reportes automatizados. Optimización de la presentación de datos para la toma de decisiones.",Data Analyst,5,Universidad Politécnica de Élite,Aceptado
178,"Ingeniero de datos en proyectos de migración a la nube. Experiencia en AWS (Redshift, S3) y Azure (Data Lake, SQL Database).",Data Engineer,6,Universidad Regional,Aceptado
179,"Desarrollo de modelos de Machine Learning en entornos de producción. Experiencia en optimización de modelos y monitoreo de rendimiento.",ML Engineer,4,Universidad Politécnica de Élite,Aceptado
180,"Análisis de datos financieros para la detección de fraudes. Experiencia en el sector bancario. Uso de técnicas de Machine Learning y análisis estadístico.",Data Scientist,5,Universidad Nacional,Aceptado
181,"Implementación de soluciones de BI con Power BI y Tableau. Diseño de reportes y dashboards para la visualización de KPIs. Experiencia en SQL y DAX.",Data Analyst,3,Universidad Politécnica de Élite,Aceptado
182,"Desarrollo de ETLs y pipelines de datos en Azure. Experiencia en Data Factory, Databricks y SQL Server.",Data Engineer,5,Universidad Regional,Aceptado
183,"Investigación en algoritmos de aprendizaje profundo para visión por computadora. Experiencia con TensorFlow y Keras. Publicaciones en conferencias internacionales.",ML Engineer,6,Universidad Politécnica de Élite,Aceptado
184,"Análisis de datos de redes sociales para la segmentación de audiencia. Experiencia en el uso de APIs para la extracción de datos. Conocimientos en Python y R.",Data Scientist,2,Bootcamp Online,Rechazado
185,"Desarrollo de soluciones de Data Warehouse en la nube. Experiencia en Snowflake y Google BigQuery. Optimización de consultas y modelado de datos.",Data Engineer,7,Universidad Politécnica de Élite,Aceptado
186,"Especialista en análisis de datos con Python. Desarrollo de scripts para la automatización de reportes y análisis ad-hoc. Experiencia en el sector salud.",Data Analyst,3,Universidad Nacional,Aceptado
187,"Ingeniero de datos con experiencia en la implementación de soluciones de Big Data. Uso de Hadoop, Spark y Kafka en entornos empresariales.",Data Engineer,8,Universidad Politécnica de Élite,Aceptado
188,"Desarrollo de modelos de clasificación de texto y análisis de sentimientos. Experiencia en el uso de NLTK y Scikit-learn.",ML Engineer,3,Universidad Regional,Rechazado
189,"Científico de datos con experiencia en proyectos de análisis predictivo. Uso de técnicas de Machine Learning para la optimización de procesos.",Data Scientist,4,Universidad Politécnica de Élite,Aceptado
190,"Implementación de soluciones de análisis de datos en tiempo real. Experiencia en el uso de Apache Kafka y Spark Streaming.",Data Engineer,5,Universidad Nacional,Aceptado
191,"Desarrollo de modelos de regresión para la predicción de ventas. Análisis de series temporales y modelado estadístico.",Data Scientist,2,Bootcamp Online,Rechazado
192,"Especialista en visualización de datos con Power BI. Creación de informes interactivos y dashboards para la toma de decisiones empresariales.",Data Analyst,4,Universidad Politécnica de Élite,Aceptado
193,"Ingeniero de datos con experiencia en la creación de soluciones de datos en la nube. Uso de AWS (S3, Redshift) y Azure (Data Lake, SQL Database).",Data Engineer,6,Universidad Nacional,Aceptado
194,"Desarrollo de modelos de Machine Learning para la predicción de churn. Experiencia en el uso de técnicas de clasificación y regresión.",ML Engineer,3,Universidad Politécnica de Élite,Aceptado
195,"Análisis de datos de clientes para la segmentación y personalización de ofertas. Experiencia en el uso de herramientas de BI y análisis estadístico.",Data Scientist,4,Universidad Regional,Aceptado
196,"Implementación de soluciones de ETL en la nube. Experiencia en el uso de AWS Glue y Lambda para la automatización de flujos de datos.",Data Engineer,5,Universidad Politécnica de Élite,Aceptado
197,"Desarrollo de modelos de clasificación de imágenes y detección de objetos. Experiencia en el uso de TensorFlow y Keras.",ML Engineer,4,Universidad Nacional,Aceptado
198,"Científico de datos con experiencia en el análisis de datos no estructurados. Uso de técnicas de NLP y herramientas como NLTK y spaCy.",Data Scientist,3,Universidad Politécnica de Élite,Aceptado
199,"Ingeniero de datos con experiencia en la optimización de consultas y rendimiento de bases de datos. Uso de SQL y herramientas de monitoreo de rendimiento.",Data Engineer,6,Universidad Nacional,Aceptado
200,"Desarrollo de modelos de recomendación para e-commerce. Experiencia en Python, Spark y despliegue en la nube. Presentación de resultados a equipos de negocio.",ML Engineer,6,Universidad Nacional,Aceptado
